capture_date,competitor,product_name,product_type,bottle_count,total_price,price_per_bottle,purchase_type,subscription_frequency,prepaid_terms,variant_options,currency,availability,source_url,notes
2026-07-20T22:30:19.241Z,Soda Pop Online,JackLink's BBQ Jerky 3.25oz,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/jacklinks-bbq-jerky-3-25oz,Bottle count could not be determined automatically.
2026-07-20T22:30:22.582Z,Soda Pop Online,JackLink's Jalapeno Carne,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/jacklinks-jalapeno-carne,Bottle count could not be determined automatically.
2026-07-20T22:30:25.619Z,Soda Pop Online,JackLink's Sweet & Hot Jerky,quantity unknown,,7.99,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/jacklinks-sweet-hot-jerky,Bottle count could not be determined automatically.
2026-07-20T22:30:29.313Z,Soda Pop Online,Country Archer Hot Jerky,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/country-archer-hot-jerky,
2026-07-20T22:30:31.316Z,Soda Pop Online,There was a problem loading this website,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/country-archer-sweet-jalapeno,Bottle count could not be determined automatically.
2026-07-20T22:30:33.288Z,Soda Pop Online,There was a problem loading this website,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/country-archer-peppered-jerky,Bottle count could not be determined automatically.
2026-07-20T22:30:35.258Z,Soda Pop Online,There was a problem loading this website,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/buy-country-archer-grass-fed-teriyaki-beef-jerky-online,Bottle count could not be determined automatically.
2026-07-20T22:30:37.219Z,Soda Pop Online,There was a problem loading this website,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/country-archer-original-jerky,Bottle count could not be determined automatically.
2026-07-20T22:30:39.190Z,Soda Pop Online,There was a problem loading this website,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/country-archer-sriracha-jerky,Bottle count could not be determined automatically.
2026-07-20T22:30:41.141Z,Soda Pop Online,There was a problem loading this website,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/starbucks-doubleshot-vanilla,Bottle count could not be determined automatically.
2026-07-20T22:30:43.968Z,Soda Pop Online,Starbucks Frap S'mores 13.7oz,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/starbucks-frap-smores-13-7oz,
